,FadR<-GLCxt_b,SurplusF6P<-TKTB2R_reverse,GalR<-!LCTSxt_b,lacZ<-!GLCxt_b & !Lacl,mdh<-!ArcA,galE<-!GLCxt_b & !GalS,pykF<-!Cra,DcuR<-DcuS,fdnGHI<-Fnr,focA<-Fnr,galT<-!GLCxt_b & !GalS,pflCD<-Fnr,LACUP<-!LCTSxt_b,glpD<-!GlpR,acnA<-LCTSxt_b,pflAB<-Fnr,dcuB<-DcuR,galK<-!GLCxt_b & !GalR,pgk<-ACxt_b,ArcA<-!O2xt_b,galP<-ACxt_b,galK<-!GLCxt_b & !GalS,dcuC<-ArcA,galT<-!GLCxt_b & !GalR,pgk<-LCTSxt_b,SurplusF6P<-TALBR_reverse,cyoABCD<-!ArcA,Fnr<-!O2xt_b,SurplusF6P<-TALAR_forward,SurplusF6P<-TKTB2R_forward,galE<-!GLCxt_b & !GalR,acnB<-LCTSxt_b,frdABCD<-Fnr,SurplusF6P<-!FBP,Mlc<-!GLCxt_b,ptsGHI<-!Mlc,ppsA<-Cra,aceB<-!ArcA & !IclR,focA<-ArcA,galM<-!GLCxt_b & !GalR,PdhR<-!SurplusPYR,Lacl<-!LCTSxt_b,SurplusF6P<-PGIR_reverse,dctA<-!ArcA & !GLCxt_b & !GLxt_b & !LACxt_b & !LCTSxt_b,sucAB<-!PdhR,galP<-GLCxt_b,FadR<-!ACxt_b,fumA<-!ArcA,aceEF<-!PdhR,dctA<-!ArcA & !GLCxt_b & !LACxt_b & !LCTSxt_b & !RIBxt_b,lpdA<-!PdhR,GalS<-!LCTSxt_b,ptsGHI<-LCTSxt_b,acnB<-ACxt_b,rbsABCD<-!RbsR,fumB<-Fnr,galM<-!GLCxt_b & !GalS,dcuC<-Fnr,SurplusF6P<-PGIR_forward,pflAB<-ArcA,glpABC<-!GlpR,SurplusF6P<-TKTA2R_forward,acs<-!ETHxt_b & !IclR & !LACxt_b & !LCTSxt_b,glpK<-!GlpR,ndh<-!Fnr,IclR<-FadR,glpF<-!GlpR,ptsGHI<-ACxt_b,aceA<-!IclR,SurplusF6P<-TKTA2R_reverse,acnA<-ACxt_b,DcuS<-SUCCxt_b,fumA<-!Fnr,Cra<-!SurplusFDP,sdhABCD<-!ArcA,cyoABCD<-!Fnr,sdhABCD<-!Fnr,dctA<-!ArcA & !GLCxt_b & !LACxt_b & !LCTSxt_b,galP<-LCTSxt_b,rbsK<-!RbsR,SurplusF6P<-TALAR_reverse,pflCD<-ArcA,rpiB<-!RpiR,SurplusF6P<-TALBR_forward,LACUP<-!GLCxt_b
Lacl,100,7,100,100,100,50,100,100,100,50,50,50,100,100,100,50,100,50,100,100,100,50,50,50,100,33,50,100,33,17,50,100,100,29,100,50,100,100,50,50,100,100,13,0,100,91,100,50,100,0,100,100,50,100,100,100,50,50,3,50,100,7,100,100,100,100,100,100,100,17,100,100,50,100,50,50,50,98,8,100,14,50,100,14,100
Mlc,100,7,100,100,100,50,100,100,100,50,50,50,100,100,100,50,100,50,100,100,100,50,50,50,100,33,50,100,33,17,50,100,100,29,100,50,100,100,50,50,100,100,13,0,100,91,100,50,100,0,100,100,50,100,100,100,50,50,3,50,100,7,100,100,100,100,100,100,100,17,100,100,50,100,50,50,50,98,8,100,14,50,100,14,100
PdhR,100,7,100,100,100,50,100,100,100,50,50,50,100,100,100,50,100,50,100,100,100,50,50,50,100,33,50,100,33,17,50,100,100,29,100,50,100,100,50,50,100,100,13,0,100,91,100,50,100,0,100,100,50,100,100,100,50,50,3,50,100,7,100,100,100,100,100,100,100,17,100,100,50,100,50,50,50,98,8,100,14,50,100,14,100
SurplusF6P,100,8,100,100,100,50,100,100,100,50,50,50,100,100,100,50,100,50,100,100,100,50,50,50,100,36,50,100,36,19,50,100,100,31,100,50,100,100,50,50,100,100,14,0,100,92,100,50,100,0,100,100,50,100,100,100,50,50,3,50,100,8,100,100,100,100,100,100,100,19,100,100,50,100,50,50,50,98,7,100,15,50,100,15,100
aceA,100,7,100,100,100,50,100,100,100,50,50,50,100,100,100,50,100,50,100,100,100,50,50,50,100,33,50,100,33,17,50,100,100,29,100,50,100,100,50,50,100,100,13,0,100,91,100,50,100,0,100,100,50,100,100,100,50,50,3,50,100,7,100,100,100,100,100,100,100,17,100,100,50,100,50,50,50,98,8,100,14,50,100,14,100
aceB,100,7,100,100,100,50,100,100,100,50,50,50,100,100,100,50,100,50,100,100,100,50,50,50,100,33,50,100,33,17,50,100,100,29,100,50,100,100,50,50,100,100,13,0,100,91,100,50,100,0,100,100,50,100,100,100,50,50,3,50,100,7,100,100,100,100,100,100,100,17,100,100,50,100,50,50,50,98,8,100,14,50,100,14,100
aceEF,100,7,100,100,100,50,100,100,100,50,50,50,100,100,100,50,100,50,100,100,100,50,50,50,100,33,50,100,33,17,50,100,100,29,100,50,100,100,50,50,100,100,13,0,100,91,100,50,100,0,100,100,50,100,100,100,50,50,3,50,100,7,100,100,100,100,100,100,100,17,100,100,50,100,50,50,50,98,8,100,14,50,100,14,100
acnA,100,7,100,100,100,50,100,100,100,50,50,50,100,100,100,50,100,50,100,100,100,50,50,50,100,33,50,100,33,17,50,100,100,29,100,50,100,100,50,50,100,100,13,0,100,91,100,50,100,0,100,100,50,100,100,100,50,50,3,50,100,7,100,100,100,100,100,100,100,17,100,100,50,100,50,50,50,98,8,100,14,50,100,14,100
acnB,100,7,100,100,100,50,100,100,100,50,50,50,100,100,100,50,100,50,100,100,100,50,50,50,100,33,50,100,33,17,50,100,100,29,100,50,100,100,50,50,100,100,13,0,100,91,100,50,100,0,100,100,50,100,100,100,50,50,3,50,100,7,100,100,100,100,100,100,100,17,100,100,50,100,50,50,50,98,8,100,14,50,100,14,100
acs,100,7,100,100,100,50,100,100,100,50,50,50,100,100,100,50,100,50,100,100,100,50,50,50,100,33,50,100,33,17,50,100,100,29,100,50,100,100,50,50,100,100,13,0,100,91,100,50,100,0,100,100,50,100,100,100,50,50,3,50,100,7,100,100,100,100,100,100,100,17,100,100,50,100,50,50,50,98,8,100,14,50,100,14,100
cyoABCD,100,7,100,100,100,50,100,100,100,50,50,50,100,100,100,50,100,50,100,100,100,50,50,50,100,33,50,100,33,17,50,100,100,29,100,50,100,100,50,50,100,100,13,0,100,91,100,50,100,0,100,100,50,100,100,100,50,50,3,50,100,7,100,100,100,100,100,100,100,17,100,100,50,100,50,50,50,98,8,100,14,50,100,14,100
dctA,100,7,100,100,100,50,100,100,100,50,50,50,100,100,100,50,100,50,100,100,100,50,50,50,100,33,50,100,33,17,50,100,100,29,100,50,100,100,50,50,100,100,13,0,100,91,100,50,100,0,100,100,50,100,100,100,50,50,3,50,100,7,100,100,100,100,100,100,100,17,100,100,50,100,50,50,50,98,8,100,14,50,100,14,100
dcuB,100,7,100,100,100,50,100,100,100,50,50,50,100,100,100,50,100,50,100,100,100,50,50,50,100,33,50,100,33,17,50,100,100,29,100,50,100,100,50,50,100,100,13,0,100,91,100,50,100,0,100,100,50,100,100,100,50,50,3,50,100,7,100,100,100,100,100,100,100,17,100,100,50,100,50,50,50,98,8,100,14,50,100,14,100
dcuC,100,7,100,100,100,50,100,100,100,50,50,50,100,100,100,50,100,50,100,100,100,50,50,50,100,33,50,100,33,17,50,100,100,29,100,50,100,100,50,50,100,100,13,0,100,91,100,50,100,0,100,100,50,100,100,100,50,50,3,50,100,7,100,100,100,100,100,100,100,17,100,100,50,100,50,50,50,98,8,100,14,50,100,14,100
fdnGHI,100,7,100,100,100,50,100,100,100,50,50,50,100,100,100,50,100,50,100,100,100,50,50,50,100,33,50,100,33,17,50,100,100,29,100,50,100,100,50,50,100,100,13,0,100,91,100,50,100,0,100,100,50,100,100,100,50,50,3,50,100,7,100,100,100,100,100,100,100,17,100,100,50,100,50,50,50,98,8,100,14,50,100,14,100
focA,100,7,100,100,100,50,100,100,100,50,50,50,100,100,100,50,100,50,100,100,100,50,50,50,100,33,50,100,33,17,50,100,100,29,100,50,100,100,50,50,100,100,13,0,100,91,100,50,100,0,100,100,50,100,100,100,50,50,3,50,100,7,100,100,100,100,100,100,100,17,100,100,50,100,50,50,50,98,8,100,14,50,100,14,100
frdABCD,100,7,100,100,100,50,100,100,100,50,50,50,100,100,100,50,100,50,100,100,100,50,50,50,100,33,50,100,33,17,50,100,100,29,100,50,100,100,50,50,100,100,13,0,100,91,100,50,100,0,100,100,50,100,100,100,50,50,3,50,100,7,100,100,100,100,100,100,100,17,100,100,50,100,50,50,50,98,8,100,14,50,100,14,100
fumA,100,7,100,100,100,50,100,100,100,50,50,50,100,100,100,50,100,50,100,100,100,50,50,50,100,33,50,100,33,17,50,100,100,29,100,50,100,100,50,50,100,100,13,0,100,91,100,50,100,0,100,100,50,100,100,100,50,50,3,50,100,7,100,100,100,100,100,100,100,17,100,100,50,100,50,50,50,98,8,100,14,50,100,14,100
fumB,100,7,100,100,100,50,100,100,100,50,50,50,100,100,100,50,100,50,100,100,100,50,50,50,100,33,50,100,33,17,50,100,100,29,100,50,100,100,50,50,100,100,13,0,100,91,100,50,100,0,100,100,50,100,100,100,50,50,3,50,100,7,100,100,100,100,100,100,100,17,100,100,50,100,50,50,50,98,8,100,14,50,100,14,100
galE,100,7,100,100,100,50,100,100,100,50,50,50,100,100,100,50,100,50,100,100,100,50,50,50,100,33,50,100,33,17,50,100,100,29,100,50,100,100,50,50,100,100,13,0,100,91,100,50,100,0,100,100,50,100,100,100,50,50,3,50,100,7,100,100,100,100,100,100,100,17,100,100,50,100,50,50,50,98,8,100,14,50,100,14,100
galK,100,7,100,100,100,50,100,100,100,50,50,50,100,100,100,50,100,50,100,100,100,50,50,50,100,33,50,100,33,17,50,100,100,29,100,50,100,100,50,50,100,100,13,0,100,91,100,50,100,0,100,100,50,100,100,100,50,50,3,50,100,7,100,100,100,100,100,100,100,17,100,100,50,100,50,50,50,98,8,100,14,50,100,14,100
galM,100,7,100,100,100,50,100,100,100,50,50,50,100,100,100,50,100,50,100,100,100,50,50,50,100,33,50,100,33,17,50,100,100,29,100,50,100,100,50,50,100,100,13,0,100,91,100,50,100,0,100,100,50,100,100,100,50,50,3,50,100,7,100,100,100,100,100,100,100,17,100,100,50,100,50,50,50,98,8,100,14,50,100,14,100
galP,100,7,100,100,100,50,100,100,100,50,50,50,100,100,100,50,100,50,100,100,100,50,50,50,100,33,50,100,33,17,50,100,100,29,100,50,100,100,50,50,100,100,13,0,100,91,100,50,100,0,100,100,50,100,100,100,50,50,3,50,100,7,100,100,100,100,100,100,100,17,100,100,50,100,50,50,50,98,8,100,14,50,100,14,100
galT,100,7,100,100,100,50,100,100,100,50,50,50,100,100,100,50,100,50,100,100,100,50,50,50,100,33,50,100,33,17,50,100,100,29,100,50,100,100,50,50,100,100,13,0,100,91,100,50,100,0,100,100,50,100,100,100,50,50,3,50,100,7,100,100,100,100,100,100,100,17,100,100,50,100,50,50,50,98,8,100,14,50,100,14,100
glpABC,100,7,100,100,100,50,100,100,100,50,50,50,100,100,100,50,100,50,100,100,100,50,50,50,100,33,50,100,33,17,50,100,100,29,100,50,100,100,50,50,100,100,13,0,100,91,100,50,100,0,100,100,50,100,100,100,50,50,3,50,100,7,100,100,100,100,100,100,100,17,100,100,50,100,50,50,50,98,8,100,14,50,100,14,100
glpD,100,7,100,100,100,50,100,100,100,50,50,50,100,100,100,50,100,50,100,100,100,50,50,50,100,33,50,100,33,17,50,100,100,29,100,50,100,100,50,50,100,100,13,0,100,91,100,50,100,0,100,100,50,100,100,100,50,50,3,50,100,7,100,100,100,100,100,100,100,17,100,100,50,100,50,50,50,98,8,100,14,50,100,14,100
glpF,100,7,100,100,100,50,100,100,100,50,50,50,100,100,100,50,100,50,100,100,100,50,50,50,100,33,50,100,33,17,50,100,100,29,100,50,100,100,50,50,100,100,13,0,100,91,100,50,100,0,100,100,50,100,100,100,50,50,3,50,100,7,100,100,100,100,100,100,100,17,100,100,50,100,50,50,50,98,8,100,14,50,100,14,100
glpK,100,7,100,100,100,50,100,100,100,50,50,50,100,100,100,50,100,50,100,100,100,50,50,50,100,33,50,100,33,17,50,100,100,29,100,50,100,100,50,50,100,100,13,0,100,91,100,50,100,0,100,100,50,100,100,100,50,50,3,50,100,7,100,100,100,100,100,100,100,17,100,100,50,100,50,50,50,98,8,100,14,50,100,14,100
lacZ,100,7,100,100,100,50,100,100,100,50,50,50,100,100,100,50,100,50,100,100,100,50,50,50,100,33,50,100,33,17,50,100,100,29,100,50,100,100,50,50,100,100,13,0,100,91,100,50,100,0,100,100,50,100,100,100,50,50,3,50,100,7,100,100,100,100,100,100,100,17,100,100,50,100,50,50,50,98,8,100,14,50,100,14,100
lpdA,100,7,100,100,100,50,100,100,100,50,50,50,100,100,100,50,100,50,100,100,100,50,50,50,100,33,50,100,33,17,50,100,100,29,100,50,100,100,50,50,100,100,13,0,100,91,100,50,100,0,100,100,50,100,100,100,50,50,3,50,100,7,100,100,100,100,100,100,100,17,100,100,50,100,50,50,50,98,8,100,14,50,100,14,100
mdh,100,7,100,100,100,50,100,100,100,50,50,50,100,100,100,50,100,50,100,100,100,50,50,50,100,33,50,100,33,17,50,100,100,29,100,50,100,100,50,50,100,100,13,0,100,91,100,50,100,0,100,100,50,100,100,100,50,50,3,50,100,7,100,100,100,100,100,100,100,17,100,100,50,100,50,50,50,98,8,100,14,50,100,14,100
ndh,100,7,100,100,100,50,100,100,100,50,50,50,100,100,100,50,100,50,100,100,100,50,50,50,100,33,50,100,33,17,50,100,100,29,100,50,100,100,50,50,100,100,13,0,100,91,100,50,100,0,100,100,50,100,100,100,50,50,3,50,100,7,100,100,100,100,100,100,100,17,100,100,50,100,50,50,50,98,8,100,14,50,100,14,100
pflAB,100,7,100,100,100,50,100,100,100,50,50,50,100,100,100,50,100,50,100,100,100,50,50,50,100,33,50,100,33,17,50,100,100,29,100,50,100,100,50,50,100,100,13,0,100,91,100,50,100,0,100,100,50,100,100,100,50,50,3,50,100,7,100,100,100,100,100,100,100,17,100,100,50,100,50,50,50,98,8,100,14,50,100,14,100
pflCD,100,7,100,100,100,50,100,100,100,50,50,50,100,100,100,50,100,50,100,100,100,50,50,50,100,33,50,100,33,17,50,100,100,29,100,50,100,100,50,50,100,100,13,0,100,91,100,50,100,0,100,100,50,100,100,100,50,50,3,50,100,7,100,100,100,100,100,100,100,17,100,100,50,100,50,50,50,98,8,100,14,50,100,14,100
pgk,100,7,100,100,100,50,100,100,100,50,50,50,100,100,100,50,100,50,100,100,100,50,50,50,100,33,50,100,33,17,50,100,100,29,100,50,100,100,50,50,100,100,13,0,100,91,100,50,100,0,100,100,50,100,100,100,50,50,3,50,100,7,100,100,100,100,100,100,100,17,100,100,50,100,50,50,50,98,8,100,14,50,100,14,100
ppsA,100,7,100,100,100,50,100,100,100,50,50,50,100,100,100,50,100,50,100,100,100,50,50,50,100,33,50,100,33,17,50,100,100,29,100,50,100,100,50,50,100,100,13,0,100,91,100,50,100,0,100,100,50,100,100,100,50,50,3,50,100,7,100,100,100,100,100,100,100,17,100,100,50,100,50,50,50,98,8,100,14,50,100,14,100
ptsGHI,100,7,100,100,100,50,100,100,100,50,50,50,100,100,100,50,100,50,100,100,100,50,50,50,100,33,50,100,33,17,50,100,100,29,100,50,100,100,50,50,100,100,13,0,100,91,100,50,100,0,100,100,50,100,100,100,50,50,3,50,100,7,100,100,100,100,100,100,100,17,100,100,50,100,50,50,50,98,8,100,14,50,100,14,100
pykF,100,7,100,100,100,50,100,100,100,50,50,50,100,100,100,50,100,50,100,100,100,50,50,50,100,33,50,100,33,17,50,100,100,29,100,50,100,100,50,50,100,100,13,0,100,91,100,50,100,0,100,100,50,100,100,100,50,50,3,50,100,7,100,100,100,100,100,100,100,17,100,100,50,100,50,50,50,98,8,100,14,50,100,14,100
rbsABCD,100,7,100,100,100,50,100,100,100,50,50,50,100,100,100,50,100,50,100,100,100,50,50,50,100,33,50,100,33,17,50,100,100,29,100,50,100,100,50,50,100,100,13,0,100,91,100,50,100,0,100,100,50,100,100,100,50,50,3,50,100,7,100,100,100,100,100,100,100,17,100,100,50,100,50,50,50,98,8,100,14,50,100,14,100
rbsK,100,7,100,100,100,50,100,100,100,50,50,50,100,100,100,50,100,50,100,100,100,50,50,50,100,33,50,100,33,17,50,100,100,29,100,50,100,100,50,50,100,100,13,0,100,91,100,50,100,0,100,100,50,100,100,100,50,50,3,50,100,7,100,100,100,100,100,100,100,17,100,100,50,100,50,50,50,98,8,100,14,50,100,14,100
rpiB,100,7,100,100,100,50,100,100,100,50,50,50,100,100,100,50,100,50,100,100,100,50,50,50,100,33,50,100,33,17,50,100,100,29,100,50,100,100,50,50,100,100,13,0,100,91,100,50,100,0,100,100,50,100,100,100,50,50,3,50,100,7,100,100,100,100,100,100,100,17,100,100,50,100,50,50,50,98,8,100,14,50,100,14,100
sdhABCD,100,7,100,100,100,50,100,100,100,50,50,50,100,100,100,50,100,50,100,100,100,50,50,50,100,33,50,100,33,17,50,100,100,29,100,50,100,100,50,50,100,100,13,0,100,91,100,50,100,0,100,100,50,100,100,100,50,50,3,50,100,7,100,100,100,100,100,100,100,17,100,100,50,100,50,50,50,98,8,100,14,50,100,14,100
sucAB,100,7,100,100,100,50,100,100,100,50,50,50,100,100,100,50,100,50,100,100,100,50,50,50,100,33,50,100,33,17,50,100,100,29,100,50,100,100,50,50,100,100,13,0,100,91,100,50,100,0,100,100,50,100,100,100,50,50,3,50,100,7,100,100,100,100,100,100,100,17,100,100,50,100,50,50,50,98,8,100,14,50,100,14,100
